A-0.6	Accessible Canada Act
SI-93-81	Canadian Security Intelligence Service Act Deputy Heads of the Public Service of Canada Order
SI-93-8	(LongTitle) Minister of National Revenue Authority to Prescribe Fees Order
SI-93-98	(LongTitle) Order Transferring from the Minister of National Health and Welfare to the Minister of Labour, the Powers, Duties and Functions in Relation to Regional Economic Development in Quebec and the Control and Supervision of the Federal Office of Regional Development — Quebec
SI-94-106	Minister of Communications (National Archives of Canada) Authority to Prescribe Fees Order
SI-94-113	(LongTitle) Reservation to the Crown Waiver Order (Yellowknife, N.W.T.)
SI-94-130	(LongTitle) Reservation to the Crown Waiver Order (Mackenzie River, N.W.T.)
SI-94-143	(LongTitle) Order Varying Telecom Decision CRTC 94-19
SI-94-147	(LongTitle) Order Authorizing the Minister of Agriculture to Prescribe Fees
SI-94-18	Order Designating the Minister of Industry, Science and Technology as Minister for Purposes of the Social Sciences and Humanities Research Council Act and as Appropriate Minister with Respect to the Social Sciences and Humanities Research Council for Purposes of the Financial Administration Act
SI-94-28	(LongTitle) Reservation to the Crown Waiver Order (Great Slave Lake, N.T.)
SI-94-34	(LongTitle) Order Directing that Certain Documents be Discontinued
SI-94-39	Atomic Energy Control Board Cost Recovery Fees Remission Order
SI-94-47	Treaty Land Entitlement (Saskatchewan) Remission Order
SI-94-4	(LongTitle) Proclamation Declaring the Agreement on Social Security Between Jersey, Guernsey and Canada in Force January 1, 1994
SI-94-56	(LongTitle) Order Authorizing the Minister of Transport to Prescribe Fees (Ship/Shore Communications Services)
SI-94-57	(LongTitle) Order Authorizing the Minister of Transport to Prescribe Fees (Pleasure Craft)
SI-94-5	(LongTitle) Proclamation Declaring the Agreement on Social Security Between Canada and Antigua and Barbuda in Force January 1, 1994
SI-94-61	(LongTitle) Order Designating the National Capital Region as the Place in Canada at which the Principal Office of the National Round Table on the Environment and the Economy Shall be Located
SI-94-62	Canadian Volunteer Service Medal Order
SI-94-6	(LongTitle) Proclamation Declaring the Agreement on Social Security Between Canada and the Federation of St. Kitts and Nevis in Force January 1, 1994
SI-94-70	Indians and Webequie Band on the Webequie Indian Settlement Remission Order
SI-94-71	Indians and the War Lake First Nation Band on the Ilford Indian Settlement Remission Order
SI-94-87	Minister of Communications (National Library) Authority to Prescribe Fees Order
SI-94-8	(LongTitle) Order Designating the Minister for International Trade as Minister for Purposes of Sections 1 to 9 and Parts I and III of the Act
SI-95-102	(LongTitle) Order Transferring to the Minister of National Revenue, the Powers, Duties and Functions of the Minister of Industry under the Tax Rebate Discounting Act
SI-95-112	(LongTitle) Proclamation Declaring the Agreement on Social Security Between Canada and the Swiss Confederation in Force October 1, 1995
SI-95-118	(LongTitle) Proclamation Declaring the Consolidated Agreements on Social Security Between Canada and the United Kingdom in Force December 1, 1995
SI-95-122	Temporary Importation of Vessels Remission Order, No. 9
SI-95-126	(LongTitle) Special Service Medal Bar Order "NATO—OTAN"
SI-95-21	(LongTitle) Income Tax Remission Order (Canada Pension Plan)
SI-95-22	(LongTitle) Proclamation Announcing the Appointment of the Governor General
SI-95-23	Withdrawal from Disposal Order (Kelly Lake Area, N.W.T.)
SI-95-2	(LongTitle) Order Authorizing the Minister of Energy, Mines and Resources to Prescribe Fees
SI-95-33	Goods and Services Tax Builders Remission Order
SI-95-35	(LongTitle) Order Transferring from the Department of Employment and Immigration to the Department of National Revenue the Control and Supervision of those Portions of the Public Service in the Income Security Programs Branch relating to Child Tax Benefit Program and Special Allowances under the Children’s Special Allowances Act
SI-95-36	(LongTitle) Order Transferring from the Minister of Employment and Immigration to the Minister of Labour, all the Powers, Duties and Functions of the Minister of Employment and Immigration under Certain Acts
SI-95-42	(LongTitle) Order Assigning to the Minister of the Environment, the Administration of Certain Public Lands
SI-95-44	(LongTitle) Order Transferring from the Minister of Agriculture and Agri-Food to the Minister of National Health and Welfare, the Powers, Duties and Functions under Certain Acts
SI-95-45	(LongTitle) Order Transferring from the Department of Employment and Immigration to the Office of the Coordinator, Status of Women, the Control and Supervision of the Women’s Program
SI-95-46	(LongTitle) Order Transferring from the Department of Transport to the Department of Fisheries and Oceans the Control and Supervision of the Canadian Coast Guard other Than the Harbours and Ports Directorate and the Regional Harbours and Ports Branches, the Marine Regulatory Directorate, and the Ship Inspection Directorate and the Regional Ship Inspection Branches
SI-95-47	(LongTitle) Order Designating the Commission of Inquiry into the Deployment of Canadian Forces to Somalia as a Department and the Prime Minister as Appropriate Minister
SI-95-49	(LongTitle) Order Transferring from the Minister of Industry to the Minister of Finance, the Powers, Duties and Functions under Certain Sections of the Act
SI-95-52	(LongTitle) Order Transferring from the Minister of Finance, to the Minister of National Health and Welfare and to the Minister of Employment and Immigration Certain Powers, Duties and Functions with Respect to Certain Programs
SI-95-56	(LongTitle) Order Assigning to the Minister of the Environment the Administration of Certain Public Lands
SI-95-59	(LongTitle) Solicitor General of Canada Authority to Prescribe Fees Order
SI-95-62	Harbourfront Remission Order
SI-95-64	(LongTitle) National Mining Week Proclamation
SI-95-66	(LongTitle) Minister of Foreign Affairs Authority to Prescribe Fees Order
SI-95-68	Mohawk Council of Akwesasne Sewage Treatment Plant Remission Order
SI-95-69	(LongTitle) Order Transferring to the Minister of Finance the Powers, Duties and Functions of the Minister of Indian Affairs and Northern Development in Respect of the Administration of the Transfer Payments to the Territorial Governments Program
SI-95-79	(LongTitle) Order Designating the Appropriate Authority for a Province with Respect to the Act
SI-95-85	(LongTitle) Order Transferring to the Department of Agriculture and Agri-Food the Control and Supervision of the Portion of the Public Service known as the Retail Food Program of the Department of Industry
SI-96-100	(LongTitle) Proclamation Declaring the Supplementary Agreement to the Agreement on Social Security between Canada and the Republic of Austria in Force on December 1, 1996
SI-96-120	(LongTitle) Proclamation Amending the Agreement on Social Security Between Canada and the Republic of Finland in Force January 1, 1997
SI-96-16	(LongTitle) Order Transferring from the Minister of Finance to the Minister of Industry, the Powers, Duties and Functions in Relation to Regional Economic Development in Quebec and the Control and Supervision of the Economic Development Agency of Canada for the Regions of Quebec
SI-96-22	Canada Assistance Plan (British Columbia) Remission Order
SI-96-24	(LongTitle) Order Designating the Minister of Industry as Minister for Purposes of Sections 11.12 to 11.2 of the Act
SI-96-31	(LongTitle) Order Transferring to the Department of National Revenue the Control and Supervision of that Portion of the Public Service in the Office of the Superintendent of Financial Institutions known as the Pension Advice Section
SI-96-32	(LongTitle) Proclamation Declaring the Agreement on Social Security Between Canada and the United Mexican States in Force May 1, 1996
SI-96-36	(LongTitle) Proclamation Designating the Maple Tree as National Arboreal Emblem of Canada
SI-96-49	(LongTitle) Order Designating the Greater Toronto Airports Authority as a Designated Airport Authority and Designating the Date for the Transfer of the Toronto-Lester B. Pearson International Airport to the Greater Toronto Airport Authority
SI-96-52	(LongTitle) Order Transferring Food Inspection Activities from the Minister of National Health and Welfare to the Minister of Agriculture and Agri-Food and Transferring Food Safety Policy Activities from the Department of Agriculture and Agri-Food to the Department of National Health and Welfare
SI-96-55	(LongTitle) Proclamation Declaring June 21 of Each Year as National Aboriginal Day
SI-96-66	(LongTitle) Order Designating Charlottetown, Prince Edward Island as Head Office of the Veterans Review and Appeal Board
SI-96-80	(LongTitle) Income Tax Paid by Investors, Other Than Promoters Remission Order
SI-96-82	(LongTitle) Income Tax Paid by Investors, other than Promoters Remission Order
SI-96-84	(LongTitle) Order Designating the Winnipeg Airports Authority Inc. as a Designated Airport Authority and Designating the Date for the Transfer of the Winnipeg International Airport to the Winnipeg Airports Authority Inc.
SI-96-85	(LongTitle) Order Designating the Ottawa Macdonald-Cartier International Airport Authority as a Designated Airport Authority and Designating the Date for the Transfer of the Ottawa Macdonald-Cartier International Airport to the Ottawa Macdonald-Cartier International Airport Authority
SI-96-87	Withdrawal from Disposal Order (Wager Bay National Park, N.W.T.)
SI-96-96	(LongTitle) Reservation to the Crown Waiver Order (Niven Lake, N.W.T.)
SI-97-104	(LongTitle) Order Designating the Minister of Industry as the Designated Minister for purposes of the Business Development Bank of Canada Act and as appropriate Minister with respect to the Business Development Bank of Canada for purposes of the Financial Administration Act
SI-97-111	(LongTitle) Proclamation Declaring the Second Supplementary Agreement Amending the Agreement on Social Security Between Canada and the United States of America in Force October 1, 1997
SI-97-127	(LongTitle) Indians and Bands on Certain Indian Settlements Remission Order (1997)
SI-97-133	(LongTitle) Rules of the Ontario Court of Justice in Criminal Proceedings
SI-97-134	(LongTitle) Proclamation Amending the Agreement on Social Security Between Canada and the Hellenic Republic in Force December 1, 1997
SI-97-140	(LongTitle) Criminal Rules of the Supreme Court of British Columbia
SI-97-32	(LongTitle) Proclamation Declaring the Agreement on Social Security Between Canada and the Republic of the Philippines in Force March 1, 1997
SI-97-48	Proclamation Declaring the Agreement on Social Security Between Canada and New Zealand in Force May 1, 1997
SI-97-49	(LongTitle) Proclamation Amending the Agreement on Social Security Between Canada and Spain in Force May 1, 1997
